"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Sftpa1",0,3.36675442738035,0.999,0.57,"0","Sftpa1"
"Sftpb",0,3.16386586346894,0.998,0.334,"0","Sftpb"
"Cxcl15",0,3.02139696447286,0.996,0.246,"0","Cxcl15"
"Scd1",0,2.94932582851225,0.997,0.329,"0","Scd1"
"Slc34a2",0,2.92614097577229,0.997,0.195,"0","Slc34a2"
"Sftpd",0,2.89317816236725,0.997,0.17,"0","Sftpd"
"Sfta2",0,2.66952944669777,0.994,0.103,"0","Sfta2"
"S100g",0,2.62476488148758,0.974,0.12,"0","S100g"
"Chil1",0,2.52889861083007,0.984,0.17,"0","Chil1"
"Lamp3",0,2.37279224911304,0.988,0.088,"0","Lamp3"
"Hc",0,2.35565431100681,0.971,0.081,"0","Hc"
"Lyz1",0,2.30952918983059,0.502,0.174,"0","Lyz1"
"Wfdc2",0,2.02882391002724,0.996,0.228,"0","Wfdc2"
"Lpcat1",0,1.93785136292279,0.974,0.141,"0","Lpcat1"
"Fasn",0,1.83174379768998,0.927,0.101,"0","Fasn"
"Npc2",0,1.83079124666128,0.999,0.763,"0","Npc2"
"Cldn18",0,1.79627970243643,0.945,0.076,"0","Cldn18"
"Atp1b1",0,1.7495483158523,0.971,0.146,"0","Atp1b1"
"Elovl1",0,1.72461966012222,0.927,0.247,"0","Elovl1"
"Ppp1r14c",0,1.71367201006942,0.921,0.064,"0","Ppp1r14c"
"Rnase4",0,1.68664129126317,0.954,0.187,"0","Rnase4"
"Wbp5",0,1.68257663933163,0.97,0.252,"0","Wbp5"
"Bex4",0,1.67818604393118,0.839,0.042,"0","Bex4"
"Dram1",0,1.65893629126847,0.94,0.119,"0","Dram1"
"Cbr2",0,1.65478145515562,0.993,0.305,"0","Cbr2"
"Abca3",0,1.62848522555222,0.937,0.146,"0","Abca3"
"Alcam",0,1.56964648996945,0.971,0.206,"0","Alcam"
"Scd2",0,1.54435522024401,0.921,0.171,"0","Scd2"
"Ptprf",0,1.52964634978291,0.89,0.084,"0","Ptprf"
"Il33",0,1.49881191596653,0.717,0.044,"0","Il33"
"Mid1ip1",0,1.49625574596301,0.867,0.183,"0","Mid1ip1"
"Napsa",0,1.48820797750568,0.973,0.442,"0","Napsa"
"Muc1",0,1.48388579514307,0.847,0.064,"0","Muc1"
"Car8",0,1.47361299424564,0.85,0.066,"0","Car8"
"Etv5",0,1.46882732467484,0.846,0.056,"0","Etv5"
"Gclc",0,1.45951309654852,0.806,0.127,"0","Gclc"
"Bex2",0,1.44770147421638,0.577,0.032,"0","Bex2"
"Ager",0,1.44294750052175,0.942,0.121,"0","Ager"
"Fabp5",0,1.44016863713509,0.93,0.348,"0","Fabp5"
"Apoc1",0,1.42681217732087,0.641,0.07,"0","Apoc1"
"Ank3",0,1.42420778564014,0.851,0.056,"0","Ank3"
"Lgi3",0,1.39552566396346,0.809,0.039,"0","Lgi3"
"Chchd10",0,1.3726876727024,0.965,0.219,"0","Chchd10"
"Nkx2-1",0,1.36298275504085,0.827,0.068,"0","Nkx2-1"
"Atp8a1",0,1.34793779061801,0.909,0.195,"0","Atp8a1"
"Prnp",0,1.34455037539091,0.832,0.079,"0","Prnp"
"Sdc4",0,1.34039316059475,0.914,0.141,"0","Sdc4"
"Atp11a",0,1.33592810182509,0.851,0.129,"0","Atp11a"
"Spint2",0,1.32328477353385,0.931,0.173,"0","Spint2"
"Cldn3",0,1.30367221397862,0.806,0.07,"0","Cldn3"
"Egfl6",0,1.28785869963296,0.76,0.032,"0","Egfl6"
"Tgoln1",0,1.28411776265472,0.88,0.261,"0","Tgoln1"
"Socs2",0,1.27935899173603,0.84,0.131,"0","Socs2"
"Pla2g1b",0,1.27537591215278,0.702,0.032,"0","Pla2g1b"
"Errfi1",0,1.25630527783433,0.741,0.071,"0","Errfi1"
"Zdhhc3",0,1.23790082358405,0.79,0.147,"0","Zdhhc3"
"Acsl4",0,1.21658141590211,0.797,0.134,"0","Acsl4"
"Irx1",0,1.20589897437479,0.717,0.037,"0","Irx1"
"Aqp5",0,1.20536476741777,0.763,0.06,"0","Aqp5"
"Acot7",0,1.1936654394492,0.761,0.132,"0","Acot7"
"Cpm",0,1.17722170315736,0.73,0.058,"0","Cpm"
"Cystm1",0,1.1698384138777,0.807,0.094,"0","Cystm1"
"Abcd3",0,1.16032282967788,0.787,0.11,"0","Abcd3"
"Npw",0,1.15922143587273,0.709,0.04,"0","Npw"
"Ces1d",0,1.13379693148634,0.783,0.092,"0","Ces1d"
"Sdc1",0,1.13313494705182,0.752,0.065,"0","Sdc1"
"Gde1",0,1.124132040468,0.842,0.198,"0","Gde1"
"Cmtm8",0,1.11875723113406,0.747,0.07,"0","Cmtm8"
"Pi4k2b",0,1.11411665587756,0.711,0.065,"0","Pi4k2b"
